Ensambel	Gene Name	Gene Type	Normal-1	Normal-2	Normal-3	Normal-4	Tumor-1	Tumor-2	Tumor-3	Tumor-4
3104	ENSG00000105409.19	ATP1A3	protein_coding	7	14	11	3	0	18	76	49
3105	ENSG00000105419.18	MEIS3	protein_coding	101	719	463	96	224	340	2159	227
3106	ENSG00000105426.17	PTPRS	protein_coding	4225	13226	1758	5072	2855	948	3589	8271
3107	ENSG00000105427.10	CNFN	protein_coding	231119	3853	139	15	103121	39	779	4
3108	ENSG00000105428.6	ZNRF4	protein_coding	1	1	0	0	0	0	1	0
3109	ENSG00000105429.13	MEGF8	protein_coding	4190	8377	7325	2873	2949	3635	28918	7074
3110	ENSG00000105438.9	KDELR1	protein_coding	6314	20405	19215	7007	19155	15500	35056	4698
3111	ENSG00000105443.15	CYTH2	protein_coding	2327	7695	2039	2063	3573	4222	7453	1100
3112	ENSG00000105447.13	GRWD1	protein_coding	1750	3063	4510	1365	5170	4326	10494	1596
3113	ENSG00000105464.3	GRIN2D	protein_coding	54	946	4727	40	165	5331	16075	49
3114	ENSG00000105467.9	SYNGR4	protein_coding	3	5	30	6	5	9	28	0
3115	ENSG00000105472.13	CLEC11A	protein_coding	166	534	725	70	568	444	685	205
3116	ENSG00000105479.16	CCDC114	protein_coding	13	25	40	28	0	51	177	14
3117	ENSG00000105483.18	CARD8	protein_coding	676	3153	2036	1230	538	3083	4621	1090
3118	ENSG00000105486.14	LIG1	protein_coding	804	1370	2448	1041	2076	1973	3926	359
3119	ENSG00000105492.16	SIGLEC6	protein_coding	39	356	137	59	3	193	139	70
3120	ENSG00000105497.8	ZNF175	protein_coding	271	1417	792	518	378	528	2380	581
3121	ENSG00000105499.14	PLA2G4C	protein_coding	101	323	323	35	70	739	1198	458
3122	ENSG00000105501.12	SIGLEC5	protein_coding	2	4	37	1	6	16	2	2
3123	ENSG00000105507.3	CABP5	protein_coding	0	1	0	1	0	2	3	0
3124	ENSG00000105509.11	HAS1	protein_coding	10	42	2	105	10	169	244	702
3125	ENSG00000105514.8	RAB3D	protein_coding	7434	7380	3867	2813	12328	1057	7833	2812
3126	ENSG00000105516.11	DBP	protein_coding	1022	1109	888	198	195	340	1284	508
3127	ENSG00000105518.14	TMEM205	protein_coding	329	841	908	346	370	1068	1940	425
3128	ENSG00000105519.18	CAPS	protein_coding	168	1961	1287	558	101	169	649	358
3129	ENSG00000105520.10	PLPPR2	protein_coding	1349	2916	2262	784	2744	1756	4244	2562
3130	ENSG00000105523.3	FAM83E	protein_coding	218	14324	2843	2118	333	7322	11983	750
3131	ENSG00000105538.10	RASIP1	protein_coding	640	1058	1038	853	413	2262	1884	2065
3132	ENSG00000105549.11	THEG	protein_coding	3	1	2	0	0	1	6	2
3133	ENSG00000105550.10	FGF21	protein_coding	1	0	1	0	7	1	15	1
3134	ENSG00000105552.15	BCAT2	protein_coding	1055	3190	3419	2090	2266	1547	7003	1573
3135	ENSG00000105556.11	MIER2	protein_coding	1116	2017	1016	652	2200	1317	3806	758
3136	ENSG00000105559.12	PLEKHA4	protein_coding	588	1854	1564	1260	393	3598	8244	2455
3137	ENSG00000105568.18	PPP2R1A	protein_coding	18612	16379	21527	6120	28207	12558	38687	8010
3138	ENSG00000105576.15	TNPO2	protein_coding	5569	7252	8289	3082	9208	5471	9553	4826
3139	ENSG00000105583.11	WDR83OS	protein_coding	0	0	0	0	0	0	0	0
3140	ENSG00000105605.7	CACNG7	protein_coding	0	6	2	0	6	2	106	24
3141	ENSG00000105607.13	GCDH	protein_coding	664	1166	2994	795	1401	739	1583	697
3142	ENSG00000105609.17	LILRB5	protein_coding	31	553	317	105	83	237	173	348
3143	ENSG00000105610.6	KLF1	protein_coding	2	3	20	2	2	4	3	0
3144	ENSG00000105612.9	DNASE2	protein_coding	920	3516	5640	1365	2292	2855	3920	1249
3145	ENSG00000105613.10	MAST1	protein_coding	21	56	250	45	25	29	237	154
3146	ENSG00000105617.4	LENG1	protein_coding	191	433	313	180	529	406	903	229
3147	ENSG00000105618.14	PRPF31	protein_coding	960	1601	2218	723	2783	2402	3890	955
3148	ENSG00000105619.13	TFPT	protein_coding	162	606	321	199	295	730	1175	216
3149	ENSG00000105639.20	JAK3	protein_coding	909	1594	3482	192	301	3412	5934	394
3150	ENSG00000105640.13	RPL18A	protein_coding	33368	45440	40571	14490	72214	25036	42144	16052
3151	ENSG00000105641.4	SLC5A5	protein_coding	8	64369	1774	3988	1	2344	2323	3074
3152	ENSG00000105642.15	KCNN1	protein_coding	7	47	22	5	1	53	1026	8
3153	ENSG00000105643.10	ARRDC2	protein_coding	609	4970	1617	1288	726	2991	3076	1251
3154	ENSG00000105647.19	PIK3R2	protein_coding	7	29	10	11	5	8	41	13
3155	ENSG00000105649.10	RAB3A	protein_coding	62	143	131	115	99	69	184	239
3156	ENSG00000105650.22	PDE4C	protein_coding	0	280	3	33	0	10	26	13
3157	ENSG00000105655.19	ISYNA1	protein_coding	550	1058	1515	462	600	809	5543	822
3158	ENSG00000105656.13	ELL	protein_coding	1428	2077	2016	679	2760	2094	3081	1457
3159	ENSG00000105662.16	CRTC1	protein_coding	558	2614	1127	1331	574	970	3061	1714
3160	ENSG00000105664.11	COMP	protein_coding	45	81	20	54	12	19	44	20
3161	ENSG00000105668.7	UPK1A	protein_coding	4688	204	78	0	4	0	61	4
3162	ENSG00000105669.14	COPE	protein_coding	4694	7735	5767	3095	10350	4790	5687	2467
3163	ENSG00000105671.12	DDX49	protein_coding	1684	1897	3435	662	3351	1712	3043	691
3164	ENSG00000105672.14	ETV2	protein_coding	146	88	51	27	113	25	103	25
3165	ENSG00000105675.9	ATP4A	protein_coding	0	56132	3	257496	3	4	19	201237
3166	ENSG00000105676.14	ARMC6	protein_coding	1218	1809	3629	925	3291	1696	3597	706
3167	ENSG00000105677.12	TMEM147	protein_coding	2796	2046	3031	1244	3744	3008	5127	1065
3168	ENSG00000105679.9	GAPDHS	protein_coding	0	3	0	1	0	3	31	1
3169	ENSG00000105694.3	ELOCP28	processed_pseudogene	0	3	1	0	0	5	0	3
3170	ENSG00000105695.15	MAG	protein_coding	2	2	0	0	2	2	13	7
3171	ENSG00000105696.9	TMEM59L	protein_coding	14	172	19	18	4	19	93	210
3172	ENSG00000105697.9	HAMP	protein_coding	2	8	9	27	5	35	16	9
3173	ENSG00000105698.16	USF2	protein_coding	4210	5873	4419	2248	6287	5555	11186	3288
3174	ENSG00000105699.16	LSR	protein_coding	4502	24438	20587	11653	20904	34679	32893	2553
3175	ENSG00000105700.11	KXD1	protein_coding	1185	2714	2393	850	3846	1540	3215	1105
3176	ENSG00000105701.16	FKBP8	protein_coding	15745	17955	12163	5132	20839	8623	15302	12116
3177	ENSG00000105705.16	SUGP1	protein_coding	909	1735	1563	600	1799	899	1842	568
3178	ENSG00000105707.14	HPN	protein_coding	2	643	126	1919	2	117	14806	1620
3179	ENSG00000105708.9	ZNF14	protein_coding	220	740	645	351	194	246	1158	491
3180	ENSG00000105711.13	SCN1B	protein_coding	54	417	215	373	43	286	435	365
3181	ENSG00000105717.14	PBX4	protein_coding	24	845	229	92	20	443	287	46
3182	ENSG00000105722.10	ERF	protein_coding	917	3227	6887	1202	4336	4929	17732	1982
3183	ENSG00000105723.13	GSK3A	protein_coding	2499	5036	5138	2011	5155	5274	11018	2003
3184	ENSG00000105726.17	ATP13A1	protein_coding	4749	11456	14465	4879	10865	7414	13604	2877
3185	ENSG00000105732.13	ZNF574	protein_coding	2327	2608	3374	1012	3641	3826	7378	1482
3186	ENSG00000105737.9	GRIK5	protein_coding	87	486	30	74	59	25	217	1713
3187	ENSG00000105738.11	SIPA1L3	protein_coding	3806	28512	12545	6565	5068	14230	67607	3719
3188	ENSG00000105750.15	ZNF85	protein_coding	180	267	543	700	25	99	764	242
3189	ENSG00000105755.8	ETHE1	protein_coding	1703	2293	2029	531	3517	794	4816	495
3190	ENSG00000105767.3	CADM4	protein_coding	1012	418	489	409	621	128	2398	660
3191	ENSG00000105771.14	SMG9	protein_coding	785	3171	2887	1023	1307	2398	4799	808
3192	ENSG00000105778.19	AVL9	protein_coding	1964	9268	7561	2865	3990	3351	23231	2269
3193	ENSG00000105784.15	RUNDC3B	protein_coding	25	116	95	51	18	111	170	230
3194	ENSG00000105792.19	CFAP69	protein_coding	70	870	163	221	71	184	610	377
3195	ENSG00000105793.16	GTPBP10	protein_coding	560	2114	1246	929	1084	1040	2862	927
3196	ENSG00000105808.18	RASA4	protein_coding	14	82	6	83	1	42	124	82
3197	ENSG00000105810.10	CDK6	protein_coding	1466	10895	9716	6592	13617	3385	11594	3462
3198	ENSG00000105819.14	PMPCB	protein_coding	2152	5774	3846	2692	3693	2136	4626	2286
3199	ENSG00000105821.15	DNAJC2	protein_coding	462	2195	2488	1174	2036	2565	4381	951
3200	ENSG00000105825.14	TFPI2	protein_coding	19	155	106	61	39	26	4978	136
3201	ENSG00000105829.13	BET1	protein_coding	384	2008	1122	774	1154	635	2291	640
3202	ENSG00000105835.12	NAMPT	protein_coding	12183	15014	16083	7245	36713	12733	14105	13485
3203	ENSG00000105849.6	POLR1F	protein_coding	710	1782	3250	946	2733	2019	6163	1165
3204	ENSG00000105851.11	PIK3CG	protein_coding	300	692	2010	61	97	2547	1009	185
3205	ENSG00000105852.11	PON3	protein_coding	25	56	31	133	30	369	1648	50
3206	ENSG00000105854.13	PON2	protein_coding	917	2297	3552	932	2193	2862	22965	1353
3207	ENSG00000105855.10	ITGB8	protein_coding	3548	6505	3800	1229	4919	6921	21124	1029
3208	ENSG00000105856.14	HBP1	protein_coding	4300	3054	2598	1647	2494	2125	3176	1841
3209	ENSG00000105865.11	DUS4L	protein_coding	67	245	219	147	206	142	468	113
3210	ENSG00000105866.15	SP4	protein_coding	173	1086	1683	518	380	568	3200	938
3211	ENSG00000105875.14	WDR91	protein_coding	1457	1282	684	854	1861	689	1023	972
3212	ENSG00000105877.18	DNAH11	protein_coding	114	105	157	60	16	53	2122	51
3213	ENSG00000105879.12	CBLL1	protein_coding	1167	2655	2847	1103	2139	1417	3808	1424
3214	ENSG00000105880.7	DLX5	protein_coding	229	33	79	3	1237	99	49	6
3215	ENSG00000105887.11	MTPN	protein_coding	18045	13564	13322	4200	15101	7210	12890	4903
3216	ENSG00000105889.16	STEAP1B	protein_coding	100	62	1394	4	36	43	300	35
3217	ENSG00000105894.12	PTN	protein_coding	5894	988	151	189	171	218	382	777
3218	ENSG00000105926.16	MPP6	protein_coding	259	387	978	818	966	723	3079	1511
3219	ENSG00000105928.16	GSDME	protein_coding	94	276	910	644	6516	239	10668	376
3220	ENSG00000105929.16	ATP6V0A4	protein_coding	664	35	22	1	14	5	38	2
3221	ENSG00000105939.13	ZC3HAV1	protein_coding	3128	9750	10536	4494	5200	4117	13139	4291
3222	ENSG00000105948.13	TTC26	protein_coding	91	602	1139	240	386	319	550	242
3223	ENSG00000105953.15	OGDH	protein_coding	12340	22761	19535	10488	22320	11585	40848	11830
3224	ENSG00000105954.2	NPVF	protein_coding	0	0	0	0	0	0	0	0
3225	ENSG00000105963.15	ADAP1	protein_coding	190	1999	1654	690	34	2573	6041	243
3226	ENSG00000105967.16	TFEC	protein_coding	45	281	813	51	52	304	2632	82
3227	ENSG00000105968.19	H2AZ2	protein_coding	3134	14067	10976	8008	7967	9675	16188	13499
3228	ENSG00000105971.15	CAV2	protein_coding	2315	3759	1960	1789	12195	4056	6240	4991
3229	ENSG00000105974.13	CAV1	protein_coding	1842	7235	4106	2136	28557	8829	5890	17967
3230	ENSG00000105976.16	MET	protein_coding	784	16910	12863	6480	16904	7571	22302	3352
3231	ENSG00000105982.17	RNF32	protein_coding	19	225	101	89	39	118	611	62
3232	ENSG00000105983.22	LMBR1	protein_coding	1365	5200	5996	3041	3795	3049	6520	2933
3233	ENSG00000105988.6	NHP2P1	processed_pseudogene	30	30	64	8	37	14	32	13
3234	ENSG00000105989.10	WNT2	protein_coding	4	5	1170	9	254	129	126	26
3235	ENSG00000105991.10	HOXA1	protein_coding	299	107	314	8	377	125	2009	15
3236	ENSG00000105993.15	DNAJB6	protein_coding	5218	5170	4648	2498	11265	3769	8156	3262
3237	ENSG00000105996.7	HOXA2	protein_coding	71	70	84	21	17	40	117	151
3238	ENSG00000105997.22	HOXA3	protein_coding	299	340	295	62	142	158	845	408
3239	ENSG00000106003.13	LFNG	protein_coding	377	8576	4178	4378	563	4847	2514	860
3240	ENSG00000106004.5	HOXA5	protein_coding	268	103	217	34	137	139	370	250
3241	ENSG00000106006.6	HOXA6	protein_coding	43	7	70	3	9	21	90	11
3242	ENSG00000106009.16	BRAT1	protein_coding	1797	5204	7488	1961	5381	3436	8807	1679
3243	ENSG00000106012.18	IQCE	protein_coding	600	9339	4875	2944	1145	3195	11240	1570
3244	ENSG00000106013.15	ANKRD7	protein_coding	2	6	2	3	2	1	12	14
3245	ENSG00000106018.14	VIPR2	protein_coding	23	186	9	33	5	5	114	1585
3246	ENSG00000106025.9	TSPAN12	protein_coding	261	2231	797	1588	71	932	1873	894
3247	ENSG00000106028.11	SSBP1	protein_coding	1849	3350	3740	1651	5798	2216	4985	1348
3248	ENSG00000106031.9	HOXA13	protein_coding	0	11	1617	1	5	489	4935	14
3249	ENSG00000106034.18	CPED1	protein_coding	390	3472	773	769	151	809	1868	8170
3250	ENSG00000106038.13	EVX1	protein_coding	0	2	16	1	0	11	388	1
3251	ENSG00000106049.9	HIBADH	protein_coding	509	2831	3547	2400	1369	1331	8725	1987
3252	ENSG00000106052.13	TAX1BP1	protein_coding	8959	11167	12012	6627	8037	7949	26671	5580
3253	ENSG00000106066.15	CPVL	protein_coding	419	809	6289	149	298	1080	5857	393
3254	ENSG00000106069.23	CHN2	protein_coding	10	215	73	26	2	50	264	15
3255	ENSG00000106070.20	GRB10	protein_coding	447	4398	5363	2775	1128	10479	11652	3561
3256	ENSG00000106077.18	ABHD11	protein_coding	717	2320	2794	695	983	2302	4515	311
3257	ENSG00000106078.19	COBL	protein_coding	2924	7970	5552	5717	64	3408	22831	8144
3258	ENSG00000106080.11	FKBP14	protein_coding	362	1578	2266	599	2030	1125	3716	1084
3259	ENSG00000106086.20	PLEKHA8	protein_coding	880	1870	2840	937	1513	999	4524	725
3260	ENSG00000106089.12	STX1A	protein_coding	67	2400	1393	135	630	2009	2495	166
3261	ENSG00000106100.11	NOD1	protein_coding	626	987	1059	412	680	1164	3225	550
3262	ENSG00000106105.15	GARS1	protein_coding	5376	11787	19757	4142	34366	10151	25134	3810
3263	ENSG00000106113.19	CRHR2	protein_coding	4	81	3	15	12	11	237	19
3264	ENSG00000106123.12	EPHB6	protein_coding	3598	2693	1181	663	300	311	782	786
3265	ENSG00000106125.14	MINDY4	protein_coding	16	53	55	14	14	44	211	34
3266	ENSG00000106128.19	GHRHR	protein_coding	0	3	1	2	0	7	5	3
3267	ENSG00000106133.18	NSUN5P2	transcribed_unprocessed_pseudogene	12	33	16	24	8	12	69	10
3268	ENSG00000106144.20	CASP2	protein_coding	1737	4035	3939	1904	3042	2043	4815	998
3269	ENSG00000106153.13	CHCHD2	protein_coding	6733	14131	20201	7355	19783	11414	27645	6825
3270	ENSG00000106178.7	CCL24	protein_coding	20	82	295	8	98	127	87	5
3271	ENSG00000106211.10	HSPB1	protein_coding	210265	49206	35384	6997	143242	22578	31167	14824
3272	ENSG00000106236.4	NPTX2	protein_coding	29	151	160	186	116	540	417	341
3273	ENSG00000106244.13	PDAP1	protein_coding	2307	4446	4882	1816	6435	3654	5096	2149
3274	ENSG00000106245.11	BUD31	protein_coding	969	1459	1422	706	2156	984	1968	627
3275	ENSG00000106246.18	PTCD1	protein_coding	63	238	176	85	136	126	354	81
3276	ENSG00000106258.15	CYP3A5	protein_coding	1642	40450	1635	8185	432	13843	8791	2556
3277	ENSG00000106261.17	ZKSCAN1	protein_coding	6377	26644	15382	8264	6627	4136	14983	6866
3278	ENSG00000106263.18	EIF3B	protein_coding	7904	12020	26784	4849	21206	13065	39454	4499
3279	ENSG00000106266.11	SNX8	protein_coding	1142	2053	3522	490	2073	2291	8355	454
3280	ENSG00000106268.15	NUDT1	protein_coding	350	264	1079	140	1303	473	973	117
3281	ENSG00000106278.12	PTPRZ1	protein_coding	1431	4239	431	1400	17587	55	331	1937
3282	ENSG00000106290.15	TAF6	protein_coding	1016	1995	4280	807	1873	1530	3220	1208
3283	ENSG00000106299.8	WASL	protein_coding	5697	13289	7227	5427	9731	3715	9861	4394
3284	ENSG00000106302.10	HYAL4	protein_coding	0	2	10	2	13	1	16	1
3285	ENSG00000106304.15	SPAM1	protein_coding	0	3	0	2	0	1	5	2
3286	ENSG00000106305.10	AIMP2	protein_coding	441	534	2397	266	1584	832	1925	190
3287	ENSG00000106327.13	TFR2	protein_coding	84	671	454	2085	14	181	4730	1351
3288	ENSG00000106328.10	FSCN3	protein_coding	0	11	1	3	5	4	20	5
3289	ENSG00000106330.12	MOSPD3	protein_coding	1768	1571	580	610	1257	613	1349	606
3290	ENSG00000106331.17	PAX4	protein_coding	0	7	4	2	0	0	9	2
3291	ENSG00000106333.13	PCOLCE	protein_coding	245	2986	3500	554	2737	2456	2881	1887
3292	ENSG00000106336.13	FBXO24	protein_coding	14	25	17	11	15	10	57	8
3293	ENSG00000106341.11	PPP1R17	protein_coding	1	2	0	1	1	2	0	2
3294	ENSG00000106344.8	RBM28	protein_coding	807	2876	3696	1802	2668	1330	5381	1596
3295	ENSG00000106346.11	USP42	protein_coding	757	2336	2451	875	1714	1807	5869	1150
3296	ENSG00000106348.18	IMPDH1	protein_coding	2121	9582	6202	3881	9052	2282	3454	2302
3297	ENSG00000106351.13	AGFG2	protein_coding	8866	4341	1626	894	607	1230	5069	976
3298	ENSG00000106355.10	LSM5	protein_coding	676	1377	3365	873	2352	1824	4235	967
3299	ENSG00000106366.9	SERPINE1	protein_coding	462	8431	5021	5721	22668	63179	9562	4963
3300	ENSG00000106367.15	AP1S1	protein_coding	713	2688	2073	642	4566	1435	3409	383
3301	ENSG00000106384.12	MOGAT3	protein_coding	1	45	50	0	0	25	5721	9
3302	ENSG00000106392.11	C1GALT1	protein_coding	2289	13789	6050	2320	1965	3272	18193	1556
3303	ENSG00000106397.12	PLOD3	protein_coding	553	5394	7326	2105	4856	6400	14380	2223
3304	ENSG00000106399.11	RPA3	protein_coding	514	1259	1788	593	1157	1450	2377	430
3305	ENSG00000106400.12	ZNHIT1	protein_coding	1823	4833	2221	1801	4316	2801	3453	1602
3306	ENSG00000106404.14	CLDN15	protein_coding	218	1077	343	229	161	332	3375	277
3307	ENSG00000106410.15	NOBOX	protein_coding	0	1	0	0	0	0	7	0
3308	ENSG00000106415.13	GLCCI1	protein_coding	415	1273	1707	318	115	826	3751	657
3309	ENSG00000106436.7	MYL10	protein_coding	0	1	1	1	1	0	2	2
3310	ENSG00000106443.17	PHF14	protein_coding	1180	5079	7174	2329	2679	5078	12368	2120
3311	ENSG00000106459.15	NRF1	protein_coding	493	1136	1246	464	1058	717	1562	572
3312	ENSG00000106460.19	TMEM106B	protein_coding	2180	11234	7209	4365	4076	3131	43927	5140
3313	ENSG00000106462.11	EZH2	protein_coding	748	1251	1813	929	1783	1115	1964	185
3314	ENSG00000106477.20	CEP41	protein_coding	232	1235	1304	475	696	413	864	335
3315	ENSG00000106479.11	ZNF862	protein_coding	848	2504	310	864	199	415	1272	795
3316	ENSG00000106483.12	SFRP4	protein_coding	19	376	147	115	78	42	157	390
3317	ENSG00000106484.16	MEST	protein_coding	312	1066	4842	468	863	1716	8635	147
3318	ENSG00000106511.6	MEOX2	protein_coding	45	80	33	23	1	49	267	75
3319	ENSG00000106524.9	ANKMY2	protein_coding	416	2971	4220	1599	757	1034	6799	1115
3320	ENSG00000106526.10	ACTR3C	protein_coding	253	377	370	217	7	143	887	189
3321	ENSG00000106536.21	POU6F2	protein_coding	2	18	725	35	229	2	2288	27
3322	ENSG00000106537.8	TSPAN13	protein_coding	1293	13380	11163	4427	1527	4989	31365	2121
3323	ENSG00000106538.10	RARRES2	protein_coding	349	1550	2119	556	1433	1334	1942	3501
3324	ENSG00000106540.4	AC004837.1	processed_pseudogene	0	0	0	0	0	0	0	0
3325	ENSG00000106541.12	AGR2	protein_coding	296	293680	60864	91794	5768	36960	79980	13216
3326	ENSG00000106546.14	AHR	protein_coding	1596	15834	8409	2942	3972	8718	18762	2493
3327	ENSG00000106554.13	CHCHD3	protein_coding	870	2493	3096	1362	2221	1615	4492	1024
3328	ENSG00000106560.11	GIMAP2	protein_coding	125	357	473	61	52	437	413	76
3329	ENSG00000106565.18	TMEM176B	protein_coding	686	5049	5452	867	1073	3646	11081	1738
3330	ENSG00000106571.15	GLI3	protein_coding	821	1896	1063	248	4024	386	485	2068
3331	ENSG00000106588.12	PSMA2	protein_coding	35	133	59	70	34	93	514	75
3332	ENSG00000106591.4	MRPL32	protein_coding	722	1685	2024	1190	2254	1495	3080	978
3333	ENSG00000106603.19	COA1	protein_coding	948	2737	3155	1225	1797	1734	5859	1111
3334	ENSG00000106605.11	BLVRA	protein_coding	2998	860	1327	529	3238	755	755	991
3335	ENSG00000106608.17	URGCP	protein_coding	1620	3505	3613	1894	3320	2940	13790	2016
3336	ENSG00000106609.16	TMEM248	protein_coding	3675	16238	13217	5928	7518	6618	19891	7118
3337	ENSG00000106610.15	STAG3L4	transcribed_unprocessed_pseudogene	199	666	517	337	437	299	1003	355
3338	ENSG00000106615.10	RHEB	protein_coding	2492	3792	3951	2080	5258	3027	6682	4689
3339	ENSG00000106617.15	PRKAG2	protein_coding	692	3350	1094	1952	1362	1250	6366	2356
3340	ENSG00000106624.11	AEBP1	protein_coding	2674	19282	25296	4782	13842	10828	12670	24166
3341	ENSG00000106628.11	POLD2	protein_coding	4353	3855	6881	2225	9297	3591	8463	1650
3342	ENSG00000106631.8	MYL7	protein_coding	0	0	0	0	0	2	6	1
3343	ENSG00000106633.17	GCK	protein_coding	12	22	13	2	9	3	206	14
3344	ENSG00000106635.8	BCL7B	protein_coding	1751	3984	3419	1636	3449	2878	5773	2595
3345	ENSG00000106636.9	YKT6	protein_coding	3778	7366	7259	3509	10520	5143	17299	2607
3346	ENSG00000106638.17	TBL2	protein_coding	1066	3234	4657	1092	3984	2049	5036	1176
3347	ENSG00000106648.14	GALNTL5	protein_coding	1	0	0	1	0	1	9	2
3348	ENSG00000106665.16	CLIP2	protein_coding	1645	11688	13319	3025	1780	5294	13318	3828
3349	ENSG00000106682.15	EIF4H	protein_coding	12945	18385	37059	7838	26184	9847	28462	8990
3350	ENSG00000106683.15	LIMK1	protein_coding	1536	3361	6718	1280	8800	2603	7182	858
3351	ENSG00000106686.16	SPATA6L	protein_coding	77	1112	169	291	48	132	710	143
3352	ENSG00000106688.12	SLC1A1	protein_coding	265	1487	642	1688	69	1006	9478	417
3353	ENSG00000106689.11	LHX2	protein_coding	6	2	13	4	4	5	84	0
3354	ENSG00000106692.15	FKTN	protein_coding	776	4068	4160	1909	1640	1679	4239	1629
3355	ENSG00000106701.13	FSD1L	protein_coding	46	306	661	376	436	620	1158	379
3356	ENSG00000106714.17	CNTNAP3	protein_coding	341	389	54	45	92	173	375	618
3357	ENSG00000106723.17	SPIN1	protein_coding	2756	9415	8408	3797	6323	3968	11937	5113
3358	ENSG00000106733.21	NMRK1	protein_coding	2490	1782	552	696	1709	823	1317	931
3359	ENSG00000106771.13	TMEM245	protein_coding	2733	11373	6685	6014	4829	3427	18653	12427
3360	ENSG00000106772.18	PRUNE2	protein_coding	2557	6817	324	1194	40	246	2402	38405
3361	ENSG00000106780.9	MEGF9	protein_coding	4295	3756	2838	2430	2443	2153	7902	3131
3362	ENSG00000106785.15	TRIM14	protein_coding	4216	6279	6136	1106	5024	3579	15039	1303
3363	ENSG00000106789.13	CORO2A	protein_coding	2326	14440	9010	1422	1896	3939	22610	692
3364	ENSG00000106799.13	TGFBR1	protein_coding	1493	7051	7428	4633	9115	5880	6240	14080
3365	ENSG00000106803.10	SEC61B	protein_coding	1874	3825	3640	1691	7247	3354	3485	1817
3366	ENSG00000106804.8	C5	protein_coding	127	655	647	739	29	164	1826	845
3367	ENSG00000106809.11	OGN	protein_coding	160	7110	66	1300	15	36	828	6347
3368	ENSG00000106819.13	ASPN	protein_coding	120	566	3157	367	496	1299	1306	1413
3369	ENSG00000106823.12	ECM2	protein_coding	65	1036	750	247	365	725	1339	656
3370	ENSG00000106829.20	TLE4	protein_coding	2659	4498	2056	2425	5384	2310	2240	2676
3371	ENSG00000106852.15	LHX6	protein_coding	85	369	664	163	67	1477	675	255
3372	ENSG00000106853.20	PTGR1	protein_coding	6163	6570	1152	3944	3686	1593	4551	1148
3373	ENSG00000106868.17	SUSD1	protein_coding	292	2006	1891	1134	387	1271	3155	559
3374	ENSG00000106927.12	AMBP	protein_coding	12	121	86	84	1	59	181	38
3375	ENSG00000106948.17	AKNA	protein_coding	2047	8736	4951	2332	1144	5798	4074	2090
3376	ENSG00000106952.7	TNFSF8	protein_coding	58	290	214	36	25	267	175	33
3377	ENSG00000106976.21	DNM1	protein_coding	347	2057	1453	354	529	461	1940	1605
3378	ENSG00000106991.14	ENG	protein_coding	1651	6087	14085	2071	3646	28316	12124	3711
3379	ENSG00000106992.19	AK1	protein_coding	79	551	178	241	189	543	316	150
3380	ENSG00000106993.12	CDC37L1	protein_coding	638	1854	849	924	1136	439	1466	1299
3381	ENSG00000107014.9	RLN2	protein_coding	4	13	4	5	0	5	42	3
3382	ENSG00000107018.8	RLN1	protein_coding	4	5	6	3	2	2	11	0
3383	ENSG00000107020.10	PLGRKT	protein_coding	486	1047	1003	440	1404	205	1029	282
3384	ENSG00000107021.16	TBC1D13	protein_coding	1560	3600	2578	2246	2393	1685	5618	2276
3385	ENSG00000107036.12	RIC1	protein_coding	2682	4365	3504	1324	3814	1757	5009	2174
3386	ENSG00000107077.19	KDM4C	protein_coding	1596	5966	1995	1906	2008	1056	5685	1797
3387	ENSG00000107099.16	DOCK8	protein_coding	2185	3178	5309	1861	719	2433	2330	944
3388	ENSG00000107104.20	KANK1	protein_coding	12372	4327	4328	1923	9828	1325	6469	5009
3389	ENSG00000107105.15	ELAVL2	protein_coding	2	12	6	8	2	10	101	46
3390	ENSG00000107130.10	NCS1	protein_coding	2034	2093	1148	825	6013	892	1289	15999
3391	ENSG00000107140.16	TESK1	protein_coding	1697	5885	11464	2293	3815	3289	5299	2890
3392	ENSG00000107147.14	KCNT1	protein_coding	26	97	20	43	3	31	122	41
3393	ENSG00000107159.13	CA9	protein_coding	3	5864	1081	9309	1454	1332	1374	3842
3394	ENSG00000107164.16	FUBP3	protein_coding	2219	6088	7575	2218	5975	3588	10054	3365
3395	ENSG00000107165.13	TYRP1	protein_coding	57	1523	332	107	117	6	562	72
3396	ENSG00000107175.12	CREB3	protein_coding	1038	4051	4677	1183	1859	2258	3697	1939
3397	ENSG00000107185.10	RGP1	protein_coding	1764	5996	14429	2198	4417	2398	7859	2394
3398	ENSG00000107186.17	MPDZ	protein_coding	275	1773	1190	854	211	1555	1906	4316
3399	ENSG00000107187.17	LHX3	protein_coding	0	1	3	1	2	2	2	0
3400	ENSG00000107201.10	DDX58	protein_coding	833	1684	1566	702	1256	1212	5214	1083
3401	ENSG00000107223.13	EDF1	protein_coding	6881	9665	8333	3649	13648	6751	8121	3728
3402	ENSG00000107242.20	PIP5K1B	protein_coding	48	7345	1354	1969	11	1327	4415	1099
3403	ENSG00000107249.23	GLIS3	protein_coding	84	2160	1195	221	284	607	3353	299
3404	ENSG00000107262.26	BAG1	protein_coding	3300	9901	3692	3973	3345	5684	3701	2629
3405	ENSG00000107263.18	RAPGEF1	protein_coding	3899	13318	12702	5642	7628	16041	21188	7633
