Ensambel	Gene Name	Gene Type	Normal-1	Normal-2	Normal-3	Normal-4	Tumor-1	Tumor-2	Tumor-3	Tumor-4
69	ENSG00000004897.12	CDC27	protein_coding	1726	5277	6517	2267	5785	3462	8273	2502
70	ENSG00000004939.15	SLC4A1	protein_coding	0	10	40	2	9	8	4	3
71	ENSG00000004948.16	CALCR	protein_coding	0	5	13	3	4	3	73	2
72	ENSG00000004961.15	HCCS	protein_coding	1025	2330	3729	986	2174	1547	3421	793
73	ENSG00000004975.12	DVL2	protein_coding	1956	2074	2310	586	3151	904	3302	1299
74	ENSG00000005001.10	PRSS22	protein_coding	3092	4077	2295	964	4624	5181	5572	88
75	ENSG00000005007.13	UPF1	protein_coding	7573	19342	18145	6367	15557	9916	20932	7276
76	ENSG00000005020.13	SKAP2	protein_coding	1794	3195	4266	627	1609	2187	8374	2710
77	ENSG00000005022.6	SLC25A5	protein_coding	13252	21380	34188	22720	24502	13383	24219	7941
78	ENSG00000005059.16	MCUB	protein_coding	416	962	947	304	2828	665	621	227
79	ENSG00000005073.6	HOXA11	protein_coding	0	1	665	0	40	50	618	1
80	ENSG00000005075.15	POLR2J	protein_coding	1214	1708	1204	862	2535	1547	1745	698
81	ENSG00000005100.13	DHX33	protein_coding	795	2033	4462	1014	3363	1295	3646	968
82	ENSG00000005102.14	MEOX1	protein_coding	93	254	260	68	3	388	403	235
83	ENSG00000005108.16	THSD7A	protein_coding	75	405	304	203	48	416	543	654
84	ENSG00000005156.12	LIG3	protein_coding	1328	2655	3568	1102	2207	1463	4778	1584
85	ENSG00000005175.10	RPAP3	protein_coding	752	1968	4008	981	2248	1749	4593	842
86	ENSG00000005187.12	ACSM3	protein_coding	230	1217	1182	532	17	176	1931	1146
87	ENSG00000005189.20	REXO5	protein_coding	132	402	527	518	222	123	642	281
88	ENSG00000005194.15	CIAPIN1	protein_coding	2076	3121	7768	1704	4715	1683	6671	920
89	ENSG00000005206.17	SPPL2B	protein_coding	1517	11649	2567	2997	2410	2631	10666	2001
90	ENSG00000005238.20	FAM214B	protein_coding	3351	5236	2317	982	4114	2302	3673	765
91	ENSG00000005243.10	COPZ2	protein_coding	171	274	260	69	900	152	202	669
