GSM4909553_20200611-190360B_012N_HG-U133_Plus_2_	GSM4909554_20200611-190360B_013N_HG-U133_Plus_2_	GSM4909555_20200616-190360B_014N_HG-U133_Plus_2_	GSM4909556_20200616-190360B_015N_HG-U133_Plus_2_	GSM4909609_20200611-190360B_012T_HG-U133_Plus_2_	GSM4909610_20200611-190360B_013T_HG-U133_Plus_2_	GSM4909611_20200616-190360B_014T_HG-U133_Plus_2_	GSM4909612_20200616-190360B_015T_HG-U133_Plus_2_
1552271_at	3.66784266024464	4.14425045002597	3.77147905673381	3.82815105054008	4.30530600111263	3.93137893127266	3.75122899707502	3.47873266310683
1552272_a_at	4.53932517361217	4.58363077895805	4.4149995289395	4.53414327995077	5.66019648617964	4.63467325879964	4.5937295674356	4.50146416384097
1552274_at	4.47052556708746	4.57794022706631	4.3329314681962	4.50025496514459	4.4495393144095	4.71481954780463	4.93941050210768	4.94887142026576
1552275_s_at	3.41857091301301	3.62461224384773	3.39304697152244	3.60415991754502	3.11074852415793	3.20928937184126	3.25439426550426	2.82184520506339
1552276_a_at	4.47275359837795	4.54934343850282	4.28388399883595	4.70647899819466	4.34450394415248	4.36806512804712	4.43229432393266	4.27973298567348
1552277_a_at	6.31505928728448	6.12003072014894	6.03938133573766	6.11068729247571	7.32580735796128	7.16696105293316	6.58892627062968	6.77495892830098
1552278_a_at	3.02295484075462	3.27754347505593	3.32555846103408	3.21494011525065	3.13182390979524	3.04605575597128	3.23065499329222	2.96085319883684
1552279_a_at	5.82856716566955	5.86201454721667	5.51355104506194	5.64861219938575	5.96144338516208	5.81261277693963	5.75338740428281	5.73686088281339
1552280_at	3.37016466875555	2.82782787331641	3.12146067899715	2.96924906273425	3.09371696615585	2.89059185898638	4.3191861956227	2.9121459295251
1552281_at	5.83741031145691	5.91061135992642	5.66217737863525	5.64152342820745	5.77008697693053	5.65476442188752	5.69394034993829	5.84717837069037
1552283_s_at	5.67020100576617	5.4603231078032	5.50267774147681	5.76405895545763	5.74467127494049	4.11316547794527	4.75779437828233	6.25703757929985
1552286_at	3.97216297667271	3.52790290178962	4.30273799182192	3.94467922651441	4.36160953651364	5.10661896834964	4.25489098116481	4.52007843068717
1552287_s_at	5.63935070660837	5.17458474201165	5.55732275039803	5.36649560693907	6.32594561330437	5.28223867109212	6.17586794890581	5.90871280091573
1552288_at	2.27925206116761	2.79656736484732	2.69051556735941	2.7690240603635	2.72805133470012	2.81500699738065	2.7690240603635	3.03179729957408
1552289_a_at	3.43767404557031	3.66945152550494	3.31777585395325	3.57258527586735	3.60742800291268	3.60873312749568	3.57738852431051	3.5478851933223
1552291_at	6.56117824158446	5.5896474204874	5.88951470274707	5.95839277843887	7.87470613734498	8.46911859689655	5.85123307711976	7.00276065708042
1552293_at	3.81995088731338	3.8123034394768	3.79952892576527	4.01455662809152	3.72807959123069	3.97501128237129	3.76914771243755	3.73904063939931
1552295_a_at	4.931896097291	5.15382769905418	4.55881620019531	4.78957846315512	5.37466874910381	5.15197185888995	5.2599165462921	5.06380048842641
1552296_at	2.4475284567119	2.69249572101927	2.35107540978256	2.76995096510559	2.9125498301145	3.2390090558357	2.48233190548878	2.5686977080851
1552299_at	3.08684331145192	3.76278683296132	3.5801574393819	3.409192617723	3.12201991087177	3.3052113408836	3.30955869740006	3.09149075759357
1552301_a_at	3.98170884585432	4.47827524217543	4.01714691614456	4.35212221473794	4.41433255882615	4.12411310805864	5.2984918238111	3.99368947048016
1552302_at	3.1784562354337	2.88743175685626	2.7298397055405	3.0142929239338	2.90249453862062	2.55186617650333	3.37278735903839	3.30521157303295
1552303_a_at	4.48366307078958	4.44752438813211	4.43052344274055	4.57282338586732	4.68544911913977	4.17446760826383	4.85286845361462	4.55941690041983
1552304_at	3.53295779473957	3.43948536899058	3.38374848772708	3.38523902578192	3.34706804495302	2.99685963192246	3.29345600308524	3.1268403742074
1552306_at	3.05871399843174	2.53344171918287	2.80758130284817	2.58960214758698	3.32444987249482	2.66909468226545	3.12141514912623	3.0986608173889
1552307_a_at	5.06966032521769	4.58974298917969	4.99473047431343	4.94693490307438	5.57591593655581	5.61336538408393	5.15056660665069	5.73063255175885
1552309_a_at	7.19184353634277	9.35471120183814	8.55656388972622	8.21386327758292	6.75693188019114	5.14279991531359	7.13395865228515	6.99047302613479
1552310_at	6.98986213504776	6.72944421370534	7.14552168141639	6.88032887940566	6.93982461832716	5.86680740221363	6.93780311767129	6.92577939703437
1552311_a_at	5.58013358717505	5.58785010581397	5.49564395250627	5.69611774734069	5.63008359415982	5.56325213070569	5.7509549488793	5.52954836960653
1552312_a_at	3.8700788939102	4.35219377712006	4.80726020352426	4.38514256821288	3.57723684394761	3.80424002739135	3.41768202114903	4.16447163062083
1552314_a_at	2.36225259057741	2.60343382756774	2.89317624153368	2.84905376022923	3.2518335799833	2.77722797325626	2.85866807944809	2.56701345357632
1552315_at	4.14870969793944	3.96772989054368	4.03325808620629	4.33128739259124	3.85619395869976	4.06920453658374	4.19573035092568	3.98896448639286
1552316_a_at	6.25888562942809	6.02816022274546	6.38060265769793	6.53603223584189	5.26483978287325	4.33812422226458	6.36943967803836	5.8730016688576
1552318_at	4.75157166355788	4.80485192868496	5.22068171064117	5.27463427578876	3.98481613929681	3.73904063939931	4.44550382568848	4.01559598297159
1552319_a_at	6.72886448311665	5.94748216296194	5.70788268656097	5.92038469463482	4.59725450715507	7.63572010178823	5.12536880800944	5.99492905274888
1552320_a_at	1.78069524596321	1.86716278528682	1.64989801627736	1.85291041254889	1.78476604894498	1.94235151251834	1.7033582958284	1.77945482525843
1552321_a_at	2.0402876538287	1.71026692378497	1.75138719367632	1.75948149568521	1.91235302285923	1.74741201385474	1.83940169466789	1.73213564296083
1552322_at	2.17349405420578	2.14842411374759	1.91174806422314	2.52445430710984	1.82616353701119	1.94306875044608	1.72924042400774	2.11457252488954
1552323_s_at	4.84320581747969	5.00357825100039	5.10137540617995	5.05413428474323	4.2563134262639	3.58413443143072	4.64166145345835	4.47627694994975
1552325_at	1.62439794426573	1.57655990868245	1.79127920677732	1.79127920677732	1.85564248734078	2.15653179794866	1.76829809050307	1.68467177638238
1552326_a_at	3.83633063913328	3.64038522274526	3.69096606273349	3.62629527957161	4.94685879881818	5.7894132465522	3.91219787803461	4.41529292264364
1552327_at	2.78922126828347	2.79210012029729	2.92731229525313	2.95199226931919	2.44176486198464	2.2914162411417	2.84707066847593	2.42273430131326
1552329_at	5.05658428848081	5.3053307351067	5.74360820381604	5.04375886367267	6.77256198162037	7.31473696513883	5.61982492433645	6.38190535600959
1552330_at	3.33390377161821	3.28839549735458	3.55666883604095	3.3832727312545	3.27520703975208	2.66330756306028	2.99171215135446	2.97474989509734
1552332_at	6.30682888434623	6.47904397874163	6.09408057449167	6.26507776937752	6.30222554004939	6.29859935293119	5.87085235537471	6.10573513697615
1552334_at	3.80909233344121	4.38949674775252	3.85918945549093	4.02878655529529	3.56860234783771	3.50386683894969	3.19414779391668	3.6676608396287
1552335_at	4.7792565493216	4.96566010060316	4.66380493758845	4.91695801314139	4.91149725283214	4.83617708214775	4.76180455250575	4.89453499657502
1552337_s_at	3.24297329497443	3.60948421429032	3.25349308236106	3.53731963889512	3.48291038750381	3.17874150677607	3.33570545035004	3.69710688196135
1552338_at	3.31139728976633	3.4408329519613	3.13428314291763	3.484156839697	3.60477543245972	3.19497709488882	3.17396478947701	3.25174590894079
1552340_at	3.8308592110382	3.8539873378216	3.5708369998989	3.93288765734913	4.09249945473582	3.91376137100344	3.89059224138648	3.92799715664489
1552343_s_at	4.53787580170575	3.52584255901342	3.75279956047908	3.83857806272553	4.49706710376481	4.23180511507748	5.28807618860118	4.17462571012562
1552344_s_at	3.62899271105993	3.93819139785301	4.33303471529983	3.82200281356526	4.58999832785102	5.31474480478996	3.38377499388775	4.69239073022134
1552347_at	6.32336038596993	6.11163255876809	6.26869010720465	6.02453421182278	5.78138174135826	5.268792270328	6.1334908326997	5.81870102847835
1552348_at	4.05581940843138	4.40429632299488	4.01167740478831	4.05284220941543	4.16526769026126	4.02887085214864	4.12074364998555	3.78141288293053
1552349_a_at	3.452316125589	3.42174127200173	3.39437049996047	3.42609730867683	3.26392482012406	3.1729938768873	3.50523950899852	3.17337365738642
1552354_at	3.14320723205849	3.08841139349461	3.14416653578416	3.04150817687042	3.24465455762862	3.38447943684893	3.33493854870938	2.98728328821189
1552355_s_at	4.67241951429115	4.69502526508549	4.40579323961534	4.61988246247889	4.59528767803976	4.51027551533061	4.5677025812732	4.36037512043521
1552359_at	1.89080115638357	2.00925180782365	2.10964309646854	2.1255224960173	1.67939272867165	1.89520559952319	1.96810615467063	2.06769124104465
1552360_a_at	4.75525526993667	4.66701867123741	5.01035653297716	4.81637012496852	4.4483809791436	4.78214532497151	4.72544936879231	4.63745795217793
1552362_a_at	4.71515034619633	4.92264872961136	5.20323761727562	4.87417794239037	4.37962834698765	3.95687156430451	4.86909590995104	4.66960770365076
1552364_s_at	3.45816936116108	3.48111602280317	3.25439426550426	3.32769527035903	5.34660236197076	4.98537542995334	3.89491949607574	4.47347342882844
1552365_at	7.96261228537843	8.271735763221	8.79249180647654	8.2288711918319	4.9756664990148	4.18258526425778	5.11793668558462	5.09401173396566
1552367_a_at	4.25954118063987	4.91627346368321	5.21877958369283	4.98100897257123	2.3799415539482	2.67998633729261	2.45146958972175	2.7959242582601
1552368_at	2.03627884959546	1.95105172476583	1.97171562352686	1.70565127516682	1.76195192809939	1.79041058220099	1.62389103609549	5.99461900096694
1552370_at	4.95789003609672	5.20767668974964	4.71073220653628	4.86386720637716	4.68355149206802	4.53905403282165	4.6046696772729	4.43394584059721
1552372_at	1.29226808145755	1.15057707412334	1.40170662492663	1.21594677855554	1.27808148405723	1.19576245190963	1.36624544039673	1.27808148405723
1552373_s_at	1.50015505666459	1.44070144066981	1.78951113876711	1.44906813437238	1.25793692281281	1.48039540241028	1.48632917928148	1.30765145592139
1552375_at	3.76701800377796	3.59208323164902	3.9700901858074	3.86347710642164	3.40221754972452	3.38970773368414	3.97719174742858	3.79744025578717
1552377_s_at	6.18397736699416	6.13605728670882	6.01086623338901	5.98760784506223	6.24103691753516	6.1940091557383	6.05181254390192	6.11279316523888
1552378_s_at	3.92069039856943	3.12403130797787	3.30596158089567	2.95768495738323	4.65408474491816	4.54537281221304	3.84136910620307	4.09008405262775
1552379_at	1.17817603623682	1.1215823702446	1.16809550003621	1.30793613932307	1.09634413031535	1.09161627945286	1.24302713565972	1.21230761542397
1552381_at	2.20524847850384	1.91207453553634	1.83355884082224	2.12341657258236	2.15354229241323	2.2998528655971	2.11116958462087	2.41771939366453
1552383_at	4.76664999209136	5.30659964559127	5.15614663515687	5.35235009092449	4.92637115528447	5.0792538072253	5.04632677447287	4.80786213364206
1552384_a_at	3.27381057794286	3.65857135651229	3.51464637026335	3.51536814555636	3.34604879495631	3.265062926709	3.18374065902522	3.00959846748629
1552386_at	3.92888881736775	3.31014755374859	3.49240440418085	3.54921996065643	3.22005943555137	2.57536079917878	3.75718480595003	3.16117520416029
1552388_at	5.07664322055682	5.73008185701826	5.45914683173545	5.42348437451081	4.69792715439159	4.78401648888	4.8639253909344	4.83181896199981
1552389_at	2.10099745954908	2.10099745954908	1.98859087372298	2.08344719104287	2.07059643354965	1.94012596272366	2.44965681805169	3.64265641762843
1552390_a_at	2.94217441682615	2.69023377442516	3.25439426550426	3.07341997071039	2.2020296555123	2.11148800061467	2.63221324584153	5.60447757923659
1552391_at	2.74689658735094	2.90967173222888	2.73134370866419	3.03298419881343	2.69821274383446	2.6373243476373	2.59156153660856	2.57701545996457
1552393_at	1.64059132019781	1.60500824418921	1.84093035690736	1.75948149568521	1.75948149568521	1.55099406376141	1.59852385440723	1.64059132019781
1552394_a_at	1.67459700917876	1.74406078981242	1.57591058588866	1.70925422152572	1.61433846191801	1.68184435410781	2.12199429628468	1.77226330412899
1552395_at	6.03425045251087	6.25202063901278	5.95740334230371	6.04066151347746	6.18894522671964	6.06812109609631	5.86214022930669	6.03425045251087
1552396_at	3.52210942768627	3.81503461960781	3.39304697152244	3.56604380546087	3.59413254734227	3.65254222243009	3.53431277836652	3.73904063939931
1552398_a_at	4.31706653446059	3.60283196049123	3.53881792811087	3.57175957021496	4.58768770856892	3.53501898376593	4.65562638069386	4.59031359643442
1552399_a_at	2.01762883844754	2.12176196303734	1.79434671018526	2.15164889127484	2.07558707114244	2.01762883844754	2.02995979778619	2.01762883844754
1552400_a_at	3.39297012896146	3.19888070636463	2.95316251883155	3.12977709773594	3.24417732762683	3.05527316441469	3.49341748897766	3.07459359652342
1552401_a_at	2.06910829011917	2.1401183883797	2.06294534426826	2.07283431605269	2.23331065742426	2.33182800812891	2.34693817585019	2.46641298923771
1552402_at	3.21444554140468	3.2710170044526	3.2093501266768	3.2710170044526	3.25439426550426	3.47863604506859	3.00714190532894	3.16502223834218
1552405_at	3.19061103376015	3.37019542995932	2.98211654430022	3.409192617723	3.16021000776072	3.37268730864893	3.4260455843545	3.37019542995932
1552408_at	2.27652691178703	2.63499875485015	2.10378868363054	2.27551877644901	2.00492003446716	2.08067549390908	1.8638482937959	1.91465260826074
1552409_a_at	5.32028474221765	5.47940171720576	5.30423822951153	5.28833872099726	5.02530725206549	4.99461833485604	5.01457153356966	4.63933721820911
1552410_at	4.67493162943641	4.71852487202484	4.65983031818079	5.09280567267841	4.14816757753666	3.97111494447472	4.3704877478195	4.49730092548391
1552411_at	6.08752469461612	6.58932906435099	6.18863803590791	6.4668630234837	5.96066525277596	6.07048512911308	6.24249920002909	5.88271848409377
1552412_a_at	2.44408920982107	2.61260976114538	2.21148610468526	2.33590929075462	2.35975460796384	2.3416045741283	2.2914162411417	2.38389385995623
1552414_at	3.04577659084248	3.54773211834377	3.04265385050083	3.17185553392135	2.96378415262086	3.3052113408836	3.14770606768212	2.96348083639899
1552415_a_at	3.70365752842057	3.85704019078062	3.5418990652391	3.54354409004184	3.52696448892471	3.74935890117901	3.50875794284268	3.20456311202609
1552417_a_at	2.01463130547872	2.04947986139726	1.9914321287559	2.09691267583874	2.46252485175419	2.44713595362518	2.23949999606604	2.20878047583029
1552418_at	3.97128796834252	3.87475490861739	4.01847032347932	4.04795642076223	3.94324715818458	3.93342012345548	3.97272826237187	3.73835508443919
1552419_s_at	3.65326242623505	3.40014976988242	3.52498226176925	3.56667785413566	3.45659215986228	3.63072243095933	3.5037882991183	3.45732314332967
1552421_a_at	2.49043763062586	2.55139184730584	2.53596265292794	2.84819993123125	2.55186617650333	2.14629162288668	2.5749496189369	2.40904266361017
1552422_at	3.9099185704544	3.9571009255912	3.98834678487431	3.78715992969453	4.11232317664512	3.85932766712389	3.92314212825647	3.94691129656944
1552423_at	4.87075472616182	4.98446550931046	4.94799670943254	5.02140739126227	5.54218856436556	4.87002887725968	4.97167429602104	4.82186988256703
1552424_at	2.31301266386944	2.40526782694427	2.44238544244538	2.45315095627866	2.29202641119148	2.69447416239428	2.30006489370365	2.42595781940458
1552425_a_at	2.75029476508928	3.40605801001531	3.48043765575385	3.30121345011628	2.67853154348443	2.16092862688987	2.65558336801244	2.78831381208171
1552426_a_at	7.33564205318564	7.60328853322249	8.14995596566731	7.66433277206315	7.59113427410101	7.58462028984506	7.7964643651707	7.90435652064764
1552427_at	2.07501667542479	2.14896239163367	2.42386586339835	2.41367612010325	2.16740788285006	1.87966825043962	1.74135863952135	2.29392408376978
1552430_at	1.68368196062517	1.64033774467394	2.05090003475447	1.65103581057543	1.34468110962244	1.5612912538126	1.4834869453264	1.68368196062517
1552432_at	5.0578498975831	4.98388199870235	4.91969855897547	4.83058572841693	4.96088179549438	5.04637562021641	4.86125154933282	4.6710119960746
1552436_a_at	3.46956138804051	3.54987632780485	3.51212343112997	3.77044020149142	3.37338989922797	3.62757504286312	3.36246749624586	3.43350164361924
1552438_a_at	3.35003270612515	3.17931671206929	3.04065658145751	2.94802386075649	3.10365378137553	3.1251505917635	2.69456862800605	2.73924316414503
1552439_s_at	1.90676053280944	1.79594954427395	1.69291717258234	1.67002419674068	1.72388062966937	1.68190333597349	1.58347862911326	1.68190333597349
